"","hospital","year","epiweek","total_tested","inf_a_pos","inf_b_pos","sars_cov2_pos","vsr_pos","flu_gen_inc","flu_gen_inc_roll","flua_inc","flua_inc_roll","flub_inc","flub_inc_roll","scv2_inc","scv2_inc_roll","rsv_inc","rsv_inc_roll"
"50","Hospital de Coatepeque",2025,21,28,4,0,0,0,14.2857142857143,20.8333333333333,14.2857142857143,20.8333333333333,0,0,0,1.38888888888889,0,0
"51","Hospital de Coatepeque",2025,22,25,4,0,1,0,16,14.4578313253012,16,14.4578313253012,0,0,4,1.20481927710843,0,0
"52","Hospital de Coatepeque",2025,23,30,4,0,0,0,13.3333333333333,16.4556962025316,13.3333333333333,16.4556962025316,0,0,0,2.53164556962025,0,0
"53","Hospital de Coatepeque",2025,24,24,5,0,1,0,20.8333333333333,18.1818181818182,20.8333333333333,18.1818181818182,0,0,4.16666666666667,1.2987012987013,0,0
"54","Hospital de Coatepeque",2025,25,23,5,0,0,0,21.7391304347826,20,21.7391304347826,20,0,0,0,1.53846153846154,0,0
"55","Hospital de Coatepeque",2025,26,18,3,0,0,0,16.6666666666667,17.2413793103448,16.6666666666667,17.2413793103448,0,0,0,0,0,0
"56","Hospital de Coatepeque",2025,27,17,2,0,0,0,11.7647058823529,13.1578947368421,11.7647058823529,13.1578947368421,0,0,0,0,0,0
"57","Hospital de Coatepeque",2025,28,3,0,0,0,0,0,8.33333333333333,0,5.55555555555556,0,2.77777777777778,0,0,0,2.77777777777778
"58","Hospital de Coatepeque",2025,29,16,0,1,0,1,6.25,2.77777777777778,0,0,6.25,2.77777777777778,0,0,6.25,5.55555555555556
"59","Hospital de Coatepeque",2025,30,17,0,0,0,1,0,2.08333333333333,0,0,0,2.08333333333333,0,0,5.88235294117647,4.16666666666667
"60","Hospital de Coatepeque",2025,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17391304347826
"61","Hospital de Coatepeque",2025,32,14,0,0,0,0,0,2.63157894736842,0,2.63157894736842,0,0,0,0,0,0
"62","Hospital de Coatepeque",2025,33,9,1,0,0,0,11.1111111111111,12.1212121212121,11.1111111111111,12.1212121212121,0,0,0,0,0,0
"63","Hospital de Coatepeque",2025,34,10,3,0,0,0,30,8.69565217391304,30,8.69565217391304,0,0,0,4.34782608695652,0,0
"64","Hospital de Coatepeque",2025,35,27,0,0,2,0,0,8.47457627118644,0,8.47457627118644,0,0,7.40740740740741,5.08474576271186,0,3.38983050847458
"65","Hospital de Coatepeque",2025,36,22,2,0,1,2,9.09090909090909,5.88235294117647,9.09090909090909,5.88235294117647,0,0,4.54545454545455,8.82352941176471,9.09090909090909,5.88235294117647
"66","Hospital de Coatepeque",2025,37,19,2,0,3,2,10.5263157894737,8.47457627118644,10.5263157894737,8.47457627118644,0,0,15.7894736842105,8.47457627118644,10.5263157894737,13.5593220338983
"67","Hospital de Coatepeque",2025,38,18,1,0,1,4,5.55555555555556,9.61538461538461,5.55555555555556,9.61538461538461,0,0,5.55555555555556,9.61538461538461,22.2222222222222,15.3846153846154
"68","Hospital de Coatepeque",2025,39,15,2,0,1,2,13.3333333333333,8.92857142857143,13.3333333333333,8.92857142857143,0,0,6.66666666666667,5.35714285714286,13.3333333333333,26.7857142857143
"69","Hospital de Coatepeque",2025,40,23,2,0,1,9,8.69565217391304,7.54716981132075,8.69565217391304,7.54716981132075,0,0,4.34782608695652,3.77358490566038,39.1304347826087,26.4150943396226
"70","Hospital de Coatepeque",2025,41,15,0,0,0,3,0,3.84615384615385,0,3.84615384615385,0,0,0,1.92307692307692,20,32.6923076923077
"71","Hospital de Coatepeque",2025,42,14,0,0,0,5,0,4.25531914893617,0,4.25531914893617,0,0,0,2.12765957446809,35.7142857142857,38.2978723404255
"72","Hospital de Coatepeque",2025,43,18,2,0,1,10,11.1111111111111,5.35714285714286,11.1111111111111,5.35714285714286,0,0,5.55555555555556,1.78571428571429,55.5555555555556,50
"73","Hospital de Coatepeque",2025,44,24,1,0,0,13,4.16666666666667,7.01754385964912,4.16666666666667,7.01754385964912,0,0,0,1.75438596491228,54.1666666666667,52.6315789473684
"74","Hospital de Coatepeque",2025,45,15,1,0,0,7,6.66666666666667,5.35714285714286,6.66666666666667,5.35714285714286,0,0,0,1.78571428571429,46.6666666666667,50
"75","Hospital de Coatepeque",2025,46,17,1,0,1,8,5.88235294117647,10.7142857142857,5.88235294117647,10.7142857142857,0,0,5.88235294117647,1.78571428571429,47.0588235294118,51.7857142857143
"76","Hospital de Coatepeque",2025,47,24,4,0,0,14,16.6666666666667,7.8125,16.6666666666667,7.8125,0,0,0,1.5625,58.3333333333333,51.5625
"77","Hospital de Coatepeque",2025,48,23,0,0,0,11,0,10.2941176470588,0,10.2941176470588,0,0,0,0,47.8260869565217,52.9411764705882
"78","Hospital de Coatepeque",2025,49,21,3,0,0,11,14.2857142857143,6.34920634920635,14.2857142857143,6.34920634920635,0,0,0,3.17460317460317,52.3809523809524,46.031746031746
"79","Hospital de Coatepeque",2025,50,19,1,0,2,7,5.26315789473684,10.3448275862069,5.26315789473684,10.3448275862069,0,0,10.5263157894737,3.44827586206897,36.8421052631579,41.3793103448276
"80","Hospital de Coatepeque",2025,51,18,2,0,0,6,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,0,0,0,4.44444444444444,33.3333333333333,35.5555555555556
"81","Hospital de Coatepeque",2025,52,8,2,0,0,3,25,15.1515151515152,25,15.1515151515152,0,0,0,0,37.5,39.3939393939394
